dataset,level,element
Aircraft System,1,WBS for MIL-STD-811f Appendix A: Aircraft System
Aircraft System,2,Aircraft System
Aircraft System,2,Air Vehicle
Aircraft System,3,Air Vehicle Integration
Aircraft System,3,Air Frame
Aircraft System,4,Airframe Integration
Aircraft System,4,Fuselage
Aircraft System,4,Wing
Aircraft System,4,Empennage
Aircraft System,4,Nacelle
Aircraft System,4,Other Airframe Components 1…n (Specify)
Aircraft System,3,Propulsion
Aircraft System,3,Vehicle Subsystems
Aircraft System,4,Vehicle Subsystem Integration
Aircraft System,4,Flight Control Subsystem
Aircraft System,4,Auxiliary Power Subsystem
Aircraft System,4,Hydraulic Subsystem
Aircraft System,4,Electrical Subsystem
Aircraft System,4,Crew Station Subsystem
Aircraft System,4,Environmental Control Subsystem
Aircraft System,4,Fuel Subsystem
Aircraft System,4,Landing Gear
Aircraft System,4,Rotor Group
Aircraft System,4,Drive Group
Aircraft System,4,Vehicle Subsystem Software Release 1...n (Specify)
Aircraft System,4,Other Subsystems 1...n (Specify)
Aircraft System,3,Avionics
Aircraft System,4,Avionics Integration
Aircraft System,4,Communication/Identification
Aircraft System,4,Navigation/Guidance
Aircraft System,4,Mission Computer/Processing
Aircraft System,4,Fire Control
Aircraft System,4,Data Display and Controls
Aircraft System,4,Survivability
Aircraft System,4,Reconnaissance
Aircraft System,4,Electronic Warfare
Aircraft System,4,Automatic Flight Control
Aircraft System,4,Health Monitoring System
Aircraft System,4,Stores Management
Aircraft System,4,Avionics Software Release 1...n (Specify)
Aircraft System,4,Other Avionics Subsystems 1...n (Specify)
Aircraft System,3,Armament/Weapons Delivery
Aircraft System,3,Auxiliary Equipment
Aircraft System,3,Furnishings and Equipment
Aircraft System,3,Air Vehicle Software Release 1...n (Specify)
Aircraft System,3,Other Air Vehicle 1...n (Specify)
Aircraft System,2,Payload/Mission System
Aircraft System,3,Payload Integration
Aircraft System,3,Survivability Payload 1...n (Specify)
Aircraft System,3,Reconnaissance Payload 1...n (Specify)
Aircraft System,3,Electronic Warfare Payload 1...n (Specify)
Aircraft System,3,Armament/Weapons Delivery Payload 1...n (Specify)
Aircraft System,3,Payload Software Release 1...n (Specify)
Aircraft System,3,Other Payload 1...n (Specify)
Aircraft System,2,Ground/Host Segment
Aircraft System,3,Ground Segment Integration
Aircraft System,3,Ground Control Systems
Aircraft System,3,Command and Control Subsystem
Aircraft System,3,Launch Equipment
Aircraft System,3,Recovery Equipment
Aircraft System,3,Transport Vehicles
Aircraft System,3,Ground Segment Software Release 1...n (Specify)
Aircraft System,3,Other Ground/Host Segment 1...n (Specify)
Aircraft System,2,Aircraft System Software Release 1...n (Specify)
Aircraft System,2,Systems Engineering
Aircraft System,3,Software Systems Engineering
Aircraft System,3,Integrated Logistics Support (ILS) Systems Engineering
Aircraft System,3,Cybersecurity Systems Engineering
Aircraft System,3,Core Systems Engineering
Aircraft System,3,Other Systems Engineering 1...n (Specify)
Aircraft System,2,Program Management
Aircraft System,3,Software Program Management
Aircraft System,3,Integrated Logistics Support (ILS) Program Management
Aircraft System,3,Cybersecurity Management
Aircraft System,3,Core Program Management
Aircraft System,3,Other Program Management 1...n (Specify)
Aircraft System,2,System Test and Evaluation
Aircraft System,3,Developmental Test and Evaluation
Aircraft System,4,System Acceptance Test
Aircraft System,4,Wind Tunnel Tests
Aircraft System,4,Structural Tests
Aircraft System,4,Flight Tests
Aircraft System,4,Ground Tests
Aircraft System,4,Cybersecurity Test and Evaluation
Aircraft System,4,Other DT&E Tests 1…n (Specify)
Aircraft System,3,Operational Test and Evaluation
Aircraft System,4,Limited User Evaluation (LUE/M-LUT/FUE)
Aircraft System,4,Interoperability Testing
Aircraft System,4,Flight Tests
Aircraft System,4,Ground Tests
Aircraft System,4,Cybersecurity Test and Evaluation
Aircraft System,4,Other OT&E Tests 1…n (Specify)
Aircraft System,3,Live Fire Test and Evaluation
Aircraft System,3,Mock-ups/System Integration Labs (SILs)
Aircraft System,3,Test and Evaluation Support
Aircraft System,3,Test Facilities
Aircraft System,2,Training
Aircraft System,3,Equipment
Aircraft System,4,Operator Instructional Equipment
Aircraft System,4,Maintainer Instructional Equipment
Aircraft System,4,Services
Aircraft System,4,Operator Instructional Services
Aircraft System,4,Maintainer Instructional Services
Aircraft System,3,Facilities
Aircraft System,3,Training Software 1...n (Specify)
Aircraft System,2,Data
Aircraft System,3,Data Deliverables 1...n (Specify)
Aircraft System,3,Data Repository
Aircraft System,3,Data Rights 1...n (Specify)
Aircraft System,2,Peculiar Support Equipment
Aircraft System,3,Test and Measurement Equipment
Aircraft System,4,Test and Measurement Equipment (Airframe/Hull/Vehicle)
Aircraft System,4,Test and Measurement Equipment (Propulsion)
Aircraft System,4,Test and Measurement Equipment (Electronics/Avionics)
Aircraft System,4,Test and Measurement Equipment (Other Major Subsystems 1...n (Specify))
Aircraft System,3,Support and Handling Equipment
Aircraft System,4,Support and Handling Equipment (Airframe/Hull/Vehicle)
Aircraft System,4,Support and Handling Equipment (Propulsion)
Aircraft System,4,Support and Handling Equipment (Electronics/Avionics)
Aircraft System,4,Support and Handling Equipment (Other Major Subsystems 1...n (Specify))
Aircraft System,2,Common Support Equipment
Aircraft System,3,Test and Measurement Equipment
Aircraft System,4,Test and Measurement Equipment (Airframe/Hull/Vehicle)
Aircraft System,4,Test and Measurement Equipment (Propulsion)
Aircraft System,4,Test and Measurement Equipment (Electronics/Avionics)
Aircraft System,4,Test and Measurement Equipment (Other Major Subsystems 1...n (Specify))
Aircraft System,3,Support and Handling Equipment
Aircraft System,4,Support and Handling Equipment (Airframe/Hull/Vehicle)
Aircraft System,4,Support and Handling Equipment (Propulsion)
Aircraft System,4,Support and Handling Equipment (Electronics/Avionics)
Aircraft System,4,Support and Handling Equipment (Other Major Subsystems 1...n (Specify))
Aircraft System,2,Operational/Site Activation by Site 1...n (Specify)
Aircraft System,3,System Assembly
Aircraft System,3,Contractor Technical Support
Aircraft System,3,Site Construction
Aircraft System,3,Site/Ship/Vehicle Conversion
Aircraft System,3,Interim Contractor Support (ICS)
Aircraft System,2,Contractor Logistics Support (CLS)
Aircraft System,2,Industrial Facilities
Aircraft System,3,Construction/Conversion/Expansion
Aircraft System,3,Equipment Acquisition or Modernization
Aircraft System,3,Maintenance (Industrial Facilities)
Aircraft System,2,Initial Spares and Repair Parts
Bicycle,1,WBS for Bicycle
Bicycle,2,Frame Set
Bicycle,3,Frame
Bicycle,3,Handlebar
Bicycle,3,Fork
Bicycle,3,Seat
Bicycle,2,Crank Set
Bicycle,2,Wheels
Bicycle,3,Front Wheel
Bicycle,3,Rear Wheel
Bicycle,2,Braking System
Bicycle,2,Shifting System
Bicycle,2,Integration
Bicycle,3,Concept
Bicycle,3,Design
Bicycle,3,Assembly
Bicycle,3,Testing
Bicycle,4,Component Test
Bicycle,4,Product Test
Bicycle,4,Customer Test
Bicycle,2,Project Management
Bicycle for UI Sim,1,WBS for Bicycle UI Simulation
Bicycle for UI Sim,2,Frame Set
Bicycle for UI Sim,3,Frame
Bicycle for UI Sim,3,Handlebar
Bicycle for UI Sim,3,Fork
Bicycle for UI Sim,3,Seat
Bicycle for UI Sim,2,Crank Set
Bicycle for UI Sim,2,Wheels
Bicycle for UI Sim,3,Front Wheel
Bicycle for UI Sim,3,Rear Wheel
Bicycle for UI Sim,2,Braking System
Bicycle for UI Sim,2,Shifting System
Bicycle for UI Sim,2,Integration
Bicycle for UI Sim,3,Concept
Bicycle for UI Sim,3,Design
Bicycle for UI Sim,3,Assembly
Bicycle for UI Sim,3,Testing
Bicycle for UI Sim,4,Component Test RFP
Bicycle for UI Sim,5,Mechanical Engineer
Bicycle for UI Sim,6,mechEngrL4_JD.docx
Bicycle for UI Sim,5,Industrial Designer
Bicycle for UI Sim,5,Materials Scientist
Bicycle for UI Sim,6,acme_SOW.docx
Bicycle for UI Sim,6,acme_quote.xlsx
Bicycle for UI Sim,5,Prototypes
Bicycle for UI Sim,6,supplierA.xlsx
Bicycle for UI Sim,6,supplierB.xlsx
Bicycle for UI Sim,5,Test Engineer
Bicycle for UI Sim,5,ComponentTestPlan.docx
Bicycle for UI Sim,5,ProtoBreakdown.xlsx
Bicycle for UI Sim,4,Product Test
Bicycle for UI Sim,5,Product Test Engineer
Bicycle for UI Sim,5,Mechanical Engineer
Bicycle for UI Sim,4,Customer Test
Bicycle for UI Sim,5,Product Test Engineer
Bicycle for UI Sim,5,User Testing
Bicycle for UI Sim,2,Project Management
Bicycle for UI Sim,3,Testing
Bicycle for UI Sim,4,Project Manager
Electronics/Avionics,1,WBS for MIL-STD-811f Appendix B: Electronics/Avionics/Generic Systems
Electronics/Avionics,2,Prime Mission Product (PMP) 1...n (Specify)
Electronics/Avionics,3,PMP Integration
Electronics/Avionics,3,PMP Subsystem 1...n (Specify)
Electronics/Avionics,4,Subsystem Integration
Electronics/Avionics,4,Subsystem Hardware 1...n (Specify)
Electronics/Avionics,4,Subsystem Software Release 1...n (Specify)
Electronics/Avionics,3,PMP Software Release 1...n (Specify)
Electronics/Avionics,4,Computer Software Configuration Item (CSCI) 1...n (Specify)
Electronics/Avionics,4,PMP Software Integration
Electronics/Avionics,2,Platform Integration
Electronics/Avionics,2,Systems Engineering
Electronics/Avionics,3,Software Systems Engineering
Electronics/Avionics,3,Integrated Logistics Support (ILS) Systems Engineering
Electronics/Avionics,3,Cybersecurity Systems Engineering
Electronics/Avionics,3,Core Systems Engineering
Electronics/Avionics,3,Other Systems Engineering 1...n (Specify)
Electronics/Avionics,2,Program Management
Electronics/Avionics,3,Software Program Management
Electronics/Avionics,3,Integrated Logistics Support (ILS) Program Management
Electronics/Avionics,3,Cybersecurity Management
Electronics/Avionics,3,Core Program Management
Electronics/Avionics,3,Other Program Management 1...n (Specify)
Electronics/Avionics,2,System Test and Evaluation
Electronics/Avionics,3,Developmental Test and Evaluation
Electronics/Avionics,4,Engineering Development Test
Electronics/Avionics,4,System Qualification Test
Electronics/Avionics,4,Cybersecurity Test and Evaluation
Electronics/Avionics,4,Other DT&E Tests 1…n (Specify)
Electronics/Avionics,3,Operational Test and Evaluation
Electronics/Avionics,4,Cybersecurity Test and Evaluation
Electronics/Avionics,4,Other OT&E Tests 1…n (Specify) 
Electronics/Avionics,3,Live Fire Test and Evaluation
Electronics/Avionics,3,Mock-ups/System Integration Labs (SILs)
Electronics/Avionics,3,Test and Evaluation Support
Electronics/Avionics,3,Test Facilities
Electronics/Avionics,2,Training
Electronics/Avionics,3,Equipment
Electronics/Avionics,4,Operator Instructional Equipment
Electronics/Avionics,4,Maintainer Instructional Equipment
Electronics/Avionics,3,Services
Electronics/Avionics,4,Operator Instructional Services
Electronics/Avionics,4,Maintainer Instructional Services
Electronics/Avionics,3,Facilities
Electronics/Avionics,3,Training Software 1...n (Specify)
Electronics/Avionics,2,Data
Electronics/Avionics,3,Data Deliverables 1...n (Specify)
Electronics/Avionics,3,Data Repository
Electronics/Avionics,3,Data Rights 1...n (Specify)
Electronics/Avionics,2,Peculiar Support Equipment
Electronics/Avionics,3,Test and Measurement Equipment
Electronics/Avionics,4,Test and Measurement Equipment (Airframe/Hull/Vehicle)
Electronics/Avionics,4,Test and Measurement Equipment (Propulsion)
Electronics/Avionics,4,Test and Measurement Equipment (Electronics/Avionics)
Electronics/Avionics,4,Test and Measurement Equipment (Other Major Subsystems 1...n) (Specify))
Electronics/Avionics,3,Support and Handling Equipment
Electronics/Avionics,4,Support and Handling Equipment (Airframe/Hull/Vehicle)
Electronics/Avionics,4,Support and Handling Equipment (Propulsion)
Electronics/Avionics,4,Support and Handling Equipment (Electronics/Avionics)
Electronics/Avionics,4,Support and Handling Equipment (Other Major Subsystems 1...n (Specify))
Electronics/Avionics,2,Common Support Equipment
Electronics/Avionics,3,Test and Measurement Equipment
Electronics/Avionics,4,Test and Measurement Equipment (Airframe/Hull/Vehicle)
Electronics/Avionics,4,Test and Measurement Equipment (Propulsion)
Electronics/Avionics,4,Test and Measurement Equipment (Electronics/Avionics)
Electronics/Avionics,4,Test and Measurement Equipment (Other Major Subsystems 1...n (Specify))
Electronics/Avionics,3,Support and Handling Equipment
Electronics/Avionics,4,Support and Handling Equipment (Airframe/Hull/Vehicle)
